Name of the document,Institution,URL,Authors,Affiliates,Sector,Country,Date,Keywords,Exclusion criteria,Status,Label,MapAIE (ours),Jobin,Fjeld,Tidjon,Hagendorff,Floridi,Zeng (LAIP),Attard-Frost,EP,Algorithm watch,CE,Winfield,EthicalML GitHub,all sources,Checked by,,,
Plan Nacional de Inteligencia Artificial,President of Argentina,https://uai.edu.ar/ciiti/2019/buenos-aires/downloads/B1/JA-Plan-Nacional-IA.pdf.,,,,Argentina,,,,not included,not in english,0,,,,,,,,,,1,,,1,Simon,,,
Ethical Framework for Artificial Intelligence in Colombia,Presidential advisory for economic affairs and digital transformation (Colombia),https://mycloud.coe.int/s/FFFMLg884J6W3na,,,,Colombia,,,,included,SPI,1,,,,,,,,,,1,,,1,Simon,,,
National Strategy for AI,Presidential executive order (Russia),"http://namib.online/wp-content/uploads/2019/10/О-развитии-искусственного-интеллекта-в-РФ.pdf, https://cset.georgetown.edu/wp-content/uploads/Decree-of-the-President-of-the-Russian-Federation-on-the-Development-of-Artificial-Intelligence-in-the-Russian-Federation-.pdf",,,,Russia,,,,included,SPI,1,,,,,,1,,,,1,,,2,Simon,,,
A practical guide to Responsible Artificial Intelligence (AI),PriceWaterhouseCoopers (PWC),https://www.pwc.com/gx/en/issues/data-and-analytics/artificial-intelligence/what-is-responsible-ai/responsible-ai-practical-guide.pdf,,,,UK,,,,included,SPI,1,,,,,,,,,1,1,,,2,Simon,,,
PWC's Responsible AI,PriceWaterhouseCoopers (PWC),https://www.pwc.com/gx/en/issues/data-and-analytics/artificial-intelligence/what-is-responsible-ai.html,,,,UK,,,,not included,tool,0,,,,,,,,,,,,1,1,Simon,,,
Responsible AI – Maturing from theory to practice,PriceWaterhouseCoopers (PWC),https://www.pwc.com/gx/en/issues/data-and-analytics/artificial-intelligence/what-is-responsible-ai/pwc-responsible-ai-maturing-from-theory-to-practice.pdf,,,,UK,,,,included,SPI,1,,,,,,,,,,,,,0,Simon,,,
The responsible AI framework,PriceWaterhouseCoopers (PwC) UK,https://www.pwc.com/gx/en/issues/data-and-analytics/artificial-intelligence/what-is-responsible-ai.html,,,,UK,,,,not included,not accessible,0,1,,,,,,,,,,,,1,Simon,,,
Plans to develop a National Artificial Intelligence Framework,Prime Minister of Malaysia,https://opengovasia.com/plans-for-cloud-first-strategy-and-national-ai-framework-revealed-at-29th-msc-malaysia-implementation-council-meeting/.,,,,Malaysia,,,,included,press,1,,,,,,,,,,1,,,1,Simon,,,
Annual Reports - Data Ethics,Privacy Commissioner for Personal Data (Hong Kong),https://www.pcpd.org.hk/english/resources_centre/publications/annual_report/files/anreport18_02.pdf,,,,Hong Kong,,,,not included,not final,0,,,,,,,,,,1,,,1,Simon,,,
Privacy and Freedom of Expression In the Age of Artificial Intelligence,Privacy International & Article 19,https://www.article19.org/wp-content/uploads/2018/04/Privacy-and-Freedom-of-Expression-In-the-Age-of-Artificial-Intelligence-1.pdf,,,,international,,,,included,SPI issue-specific,1,1,,,,,,,,1,1,,,3,Simon,,,
QCRI Center for Artificial Intelligence,Qatar Computing Research Institute (QCRI),https://www.hbku.edu.qa/en/qcri/center-artificial-intelligence,,,,Qatar,,,,included,,1,,,,,,,,,,1,,,1,Simon,,,
Auditing and Achieving Intersectional Fairness in Classification Problems,QuantumBlack (McKinsey),https://arxiv.org/pdf/1911.01468.pdf,,,,UK,,,,not included,tool,0,,,,,,,,,,1,,,1,Simon,,,
Summary of events - AI Policy Conference,"RegHorizon, ETH Zurich",https://reghorizon.com/wp-content/uploads/2021/02/RegHorizon-AI-Policy-Conference-2020-Summary.pdf,,,,Switzerland,,,,included,SPI,1,,,,,,,,,,1,,,1,Simon,,,
Rome Call for AI Ethics,RenAIssance Foundation,https://www.romecall.org/wp-content/uploads/2022/03/RomeCall_Paper_web.pdf,,,,Vatican,,,,included,,1,,,,,,1,,,1,,,,2,Simon,,,
Užupis Principles for Trustworthy AI Design,Republic of Užupis,http://uzhupisembassy.eu/wp-content/uploads/2019/07/Uzupis-Principles-for-Trustworthy-AI.pdf,,,,Lithuania,,,,included,SPI,1,,,,,,,,,1,1,,,2,Simon,,,
Principles,reputable.AI,https://www.reputable.ai/principles,,,,UK,,,,not included,not accessible,0,,,,,,,,,1,1,,,2,Simon,,,
Harmonious Artificial Intelligence Principles,"Research Center for Brain-inspired Intelligence, Institute of Automation, Chinese Academy of Sciences",http://harmonious-ai.org/,,,,China,,,,included,,1,,,,,,1,,,,,,,1,Simon,,,
Linking artifical intelligence principles,"Research Center for Brain-inspired Intelligence, Institute of Automation, Chinese Academy of Sciences",http://www.linking-ai-principles.org/about,,,,China,,,,not included,tool,0,,,,,,,,,,1,,,1,Simon,,,
Recomendations on the inclusion subSaharan Africa in Global AI Ethics,Research ICT Africa,https://researchictafrica.net/wp/wp-content/uploads/2020/11/RANITP2019-2-AI-Ethics.pdf,,,,South Africa,,,,included,issue-specific,1,,,1,,,,,,,,,,1,Simon,,,
Responsible Design Assistant,Responsible AI institute,https://oproma.github.io/rai-trustindex/,,,,USA,,,,not included,tool,0,,,1,,,,,,,,,,1,Simon,,,
RANZCR Ethical Principles for AI in Medicine - Consultation,Royal Australian and New Zealand College of Radiologists,https://www.ranzcr.com/college/document-library/ethical-principles-for-ai-in-medicine,,,,Australia,,,,included,field-specific,1,,,,,,,,,,1,,,1,Simon,,,
Artificial Intelligence (AI) in Health,Royal College of Physicians,https://www.rcplondon.ac.uk/projects/outputs/artificial-intelligence-ai-health,,,,UK,,,,included,field-specific,1,1,,,,,,,,,1,,,2,Simon,,,
The Ethics of Code: Developing AI for Business with Five Core Principles,Sage,https://www.sage.com/investors/-/media/files/company/documents/pdf/business%20builders/latest%20news/business%20builders%20ethics%20of%20code.pdf,,,industry,UK,2017,,,included,,1,1,,,,,1,,,1,1,,,4,Mel,,,
Trusted AI  ,Salesforce research,https://www.salesforceairesearch.com/trusted-ai,,,,USA,,,,not included,tool,0,,,1,,,,,,,,,,1,Simon,,,
Artificial Intelligence,Samsung Research,https://research.samsung.com/artificial-intelligence,,,,,,,,included,digital,1,,,,,,1,,,,,,,1,Simon,,,
SAP’s guiding principles for artificial intelligence,SAP,https://news.sap.com/2018/09/sap-guiding-principles-for-artificial-intelligence/,,,industry,Germany,2018-09,,,included,,1,1,,,,,1,,,1,1,,,4,Mel,,,
Shanghai Declaration,Shanghai YoungAI,https://www.shkjdw.gov.cn/c/2019-08-30/517552.shtml,,,,China,,,,not included,not in english,0,,,,,,1,,,,,,,1,Simon,,,
Smart Dubai AI Ethics Principles & Guidelines,Smart Dubai,https://www.digitaldubai.ae/docs/default-source/ai-principles-resources/ai-ethics.pdf,Aisha Bint Butti Bin Bishr,Falcon and Associates,,UAE,"state, institutional",,,included,,1,1,1,,,,1,1,,1,1,,1,7,Mel,,,
Ethical Principles for Artificial Intelligence and Data Analytics,"Software & Information Industry Association (SIIA), Public Policy Division",https://history.siia.net/Portals/0/pdf/Policy/Ethical%20Principles%20for%20Artificial%20Intelligence%20and%20Data%20Analytics%20SIIA%20Issue%20Brief.pdf?ver=2017-11-06-160346-990,,,,USA,,,,included,digital,1,1,,,,,,,,1,1,,,3,Simon,,,
Shanghai Initiative on Artificial Intelligence Security Development,Sohu,https://www.sohu.com/a/254630629_260616,,,,China,,,,not included,not in english,0,,,,,,1,,,,,,,1,Simon,,,
Sony Group AI Ethics Guidelines,Sony,https://www.sony.com/en/SonyInfo/sony_ai/responsible_ai.html,.,.,industry,Japan,2018-09,,,included,,1,1,,,,,1,,,1,1,,,4,Mel,,,
National Strategy on AI,Spain,https://www.lamoncloa.gob.es/presidente/actividades/Documents/2020/021220-ENIA.pdf,,,,Spain,,,,not included,not in english,0,,,,,,,,,,1,,,1,Simon,,,
Statute book of good practices in data protection for Big Data - Código de buenas prácticas en protección de datos para proyectos de Big Data,Spanish Agency for Data Protection (AEPD - Spain),https://www.aepd.es/media/guias/guia-codigo-de-buenas-practicas-proyectos-de-big-data.pdf,,,,Spain,,,,not included,not in english,0,,,,,,,,,,1,,,1,Simon,,,
Dutch Artificial Intelligence Manifesto,"Special Interest Group on Artificial Intelligence (SIGAI), ICT Platform Netherlands (IPN)",http://ii.tudelft.nl/bnvki/wp-content/uploads/2018/09/Dutch-AI-Manifesto.pdf,,,,Netherlands,,,,included,SPI,1,1,,,,,,,,1,1,,,3,Simon,,,
White Paper on AI standardization,Standards Admin of China,https://cset.georgetown.edu/publication/artificial-intelligence-standardization-white-paper/,,,,China,,,,not included,not in english,0,,1,,,,,1,,,1,,,3,Simon,,,
An Artificial Intelligence Standards Roadmap: Making Australia’s Voice Heard,Standards Australia,https://www.standards.org.au/getmedia/ede81912-55a2-4d8e-849f-9844993c3b9d/1515-An-Artificial-Intelligence-Standards-Roadmap12-02-2020.pdf.aspx,,,,Australia,,,,included,SPI,1,,,,,,,,,,1,,,1,Simon,,,
Government by Algorithm: Artificial Intelligence in Federal Administrative Agencies,Stanford Law School,https://law.stanford.edu/wp-content/uploads/2020/02/ACUS-AI-Report.pdf,,,,USA,,,,included,SPI field-specific,1,,,,,,,,,,1,,,1,Simon,,,
Introducing Stanford's Human-Centered AI Initiative,Stanford University Human-Centered Artificial Intelligence,https://hai.stanford.edu/news/introducing-stanfords-human-centered-ai-initiative,,,,USA,,,,included,,1,,,,,,1,,,,,,,1,Simon,,,
Next Generation Artifical Intelligence Plan,State Council (China),"https://digichina.stanford.edu/work/full-translation-chinas-new-generation-artificial-intelligence-development-plan-2017/#:~:text=By%202025%2C%20a%20new%20generation,global%20high%2Dend%20value%20chain.",,,,China,,,,not included,not in english,0,,,,,,,,,,1,,,1,Simon,,,
Principles for the safe and effective use of data and analytics,Stats New Zealand and Office of the Privacy Commissioner,https://www.privacy.org.nz/assets/New-order/Resources-/Publications/Guidance-resources/Principles-for-the-safe-and-effective-use-of-data-and-analytics-guidance3.pdf,,,,New Zealand,,,,included,digital,1,,,,,,,,,1,,,,1,Simon,,,
Artificial Intelligence Technology Strategy,Strategic Council for Ai Technology (Japan),https://www.nedo.go.jp/content/100865202.pdf,,,,Japan,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Simon,,,
Artificial intelligence in Swedish business and society,Sweden’s innovation agency (Vinnova),https://www.vinnova.se/contentassets/72ddc02d541141258d10d60a752677df/vr-18_12.pdf?cb=20180924082158,,,,Sweden,,,,included,SPI,1,,,,,,,,,,1,,,1,Simon,,,
Recommendations for an AI Strategy in Switzerland,Swiss Academy of Technical Sciences (SATW),https://www.satw.ch/fileadmin/user_upload/documents/02_Themen/08_Kuenstliche-Intelligenz/SATW-Swiss_AI_Strategy.pdf,,,,Switzerland,,,,included,SPI digital,1,,,,,,,,,,1,,,1,Simon,,,
Ethical Codex for Data-Based Value Creation: For Public Consultation,Swiss Alliance for Data-Intensive Services,https://digitalcollection.zhaw.ch/bitstream/11475/24226/4/2020_Christen-etal_Ethical-Codex_Recommendations.pdf,,,,Switzerland,,,,included,"field-specific, digital",1,,,,,,,,,1,1,,,2,Tiphaine,,,
The future of work and education in the digital age,T20,https://www.g20-insights.org/wp-content/uploads/2019/04/T20-Recommendations-Report_TF7-The-Future-of-Work-and-Education-in-the-Digital-Age.pdf,,,,international,,,,not included,not accessible,0,,1,,,,,1,,,,,,2,Simon,,,
RFI for AI Services,TBS Canada,https://buyandsell.gc.ca/cds/public/2018/06/28/05baa93c08b6f2d3000855170f831066/ABES.PROD.PW__EE.B017.E33657.EBSU000.PDF,,,,Canada,,,,included,SPI field-specific,1,,,,,,1,,,,,,,1,Simon,,,
Critiquing the Reasons for Making Artificial Moral Agents,Technical University of Delft,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6591188/,,,,Netherlands,,,,included,SPI field-specific,1,,,,,,,,,,1,,,1,Simon,,,
Business Principles and Policies,Telefonica,https://www.telefonica.com/en/sustainability-innovation/how-we-work/business-principles/,,,,,,,,not included,not AI ethics,0,,,,,,1,,,,,,,1,Simon,,,
AI Principles of Telefónica,Telefonica Executive Committee,https://www.telefonica.com/wp-content/uploads/sites/7/2021/11/principios-ai-eng-2018.pdf,.,.,industry,Spain,2018-10,,,included,,1,1,1,,,,,1,,1,1,,,5,Mel,,,
Guiding Principles on Trusted AI Ethics,Telia Company,https://www.teliacompany.com/assets/u5c1v3pt22v8/2vc3JrcTrqI77ww43dChjh/a1ddbf5d79d203a1aa3cceb3e43c719d/Telia_Company-s_Guiding_principles_for_AI_Ethics.pdf,.,.,industry,Sweden,2019-01,,,included,,1,,1,,,,1,1,,1,1,,,5,Mel,,,
6 Principles of AI,Tencent,https://tech.qq.com/a/20190711/004971.htm,,,,China,,,,not included,not in english,0,,1,,,,,1,,,0,,,2,Simon,,,
“ARCC”: An Ethical Framework for Artificial Intelligence,Tencent Research Institute,https://www.tisi.org/13747,,,,China,,,,included,,1,,,,,,1,,,,,,,1,Simon,,,
The Ethics of Technology in the Intelligent Age - Reshaping Trust in a Digital Society,"Tencent Technology News, Tencent Research Institute, Tencent AI Lab",https://tech.qq.com/a/20190711/004971.htm,,,,China,,,,not included,not in english,0,,,,,,1,,,,1,,,2,Simon,,,
Artificial Intelligence and National Security,Thales,https://www.thalesgroup.com/en/artificial-intelligence-and-national-security,,,,,,,,not included,not accessible,0,,,,,,,,,,0,,,0,Simon,,,
"Designing an ethical, socially accountable facial recognition system A vision from Thales",Thales,https://www.thalesgroup.com/sites/default/files/database/document/2021-11/gov-wp-facial-recognition-2021.pdf,,,,,,,,included,SPI techno-specific,1,,,,,,,,,,0,,,0,Simon,,,
TrUE AI,Thales,https://www.thalesgroup.com/en/group/journalist/press_release/thales-true-ai-approach-artificial-intelligence-be-unveiled-paris,,,,France,,,,included,press,1,,,,,,,,,,1,,,1,Simon,,,
"Human Rights, Democracy, and the Rule of Law Assurance Framework for AI Systems: A proposal prepared for the Council of Europe’s Ad hoc Committee on Artificial Intelligence",The Alan Turing Institute,https://rm.coe.int/huderaf-coe-final-1-2752-6741-5300-v-1/1680a3f688,,,,UK,,,,included,SPI issue-specific,1,,,,,,,,,,1,,,1,Simon,,,
Understanding Artificial Intelligence and Safety - A guide for the responsible design and implementation of AI systems in the public sector,The Alan Turing Institute,https://www.turing.ac.uk/sites/default/files/2019-06/understanding_artificial_intelligence_ethics_and_safety.pdf,,,,UK,,,,included,,1,,,,,,1,1,,1,1,,1,5,Mel,,,
"AI, human rights, democracy and the rule of law: A primer prepared for the Council of Europe","The Alan Turing Institute, Council of Europe",https://www.turing.ac.uk/sites/default/files/2021-03/cahai_feasibility_study_primer_final.pdf,,,,UK,,,,included,SPI field-specific,1,,,,,,,,,,1,,,1,Simon,,,
The Critical Engineering Manifesto,The Critical Engineering Working Group,https://criticalengineering.org/en,,,,Germany,,,,not included,not AI ethics,0,,,,,,,,,1,,,,1,Simon,,,
Human rights impact assessment of digital activities,The Danish Institute for Human Rights,https://www.humanrights.dk/files/media/document/A%20HRIA%20of%20Digital%20Activities%20-%20Introduction_ENG_accessible.pdf,,,,Denmark,,,,included,SPI (study),1,,,,,,,,,,1,,,1,Tiphaine,,,
Ethical by Design: Principles for Good Technology,The Ethics Center,https://ethics.org.au/ethical-by-design/,,,,Australia,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Simon,,,
The EURON Roboethics Roadmap,The European Robotics Research Network (EURON),https://www3.nd.edu/~rbarger/ethics-roadmap.pdf,,,,EU,,,,included,SPI digital,1,,,,,,,,1,,,,,1,Simon,,,
Principles for the Governance of AI,The Future Society Science Law and Society (SLS) Initiative,https://thefuturesociety.org/principles-law-and-society-initiative/,,,civil society,USA,2017-07-15,,,included,,1,1,,,,,1,,1,1,1,1,,6,Mel,,,
Big Data and Health - Data sovereignty as informational freedom design - Big Data und Gesundheit – Datensouveränität als informationelle Freiheitsgestaltung,The German Ethics Council,https://www.ethikrat.org/fileadmin/Publikationen/Stellungnahmen/englisch/opinion-big-data-and-health-summary.pdf,,,,Germany,,,,included,digital field-specific,1,,,,,,,,,,1,,,1,Simon,,,
The Good Technology Standard (Draft),The Good Technology Collective,https://github.com/GoodTechnologyCollective/GTS,,,,Germany,,,,not included,not final,0,,,,,,,,,1,1,,,2,Simon,,,
Artificial Intelligence: a strategic vision for Luxembourg,The Government of the Grand Duchy of Luxembourg,https://digital-luxembourg.public.lu/sites/default/files/2020-09/AI_EN_0.pdf,,,,Luxembourg,,,,included,SPI,1,,,,,,,,,,1,,,1,Simon,,,
Position on Robotics and Artificial Intelligence,The Greens (Green Working Group Robots),https://felixreda.eu/wp-content/uploads/2017/02/Green-Digital-Working-Group-Position-on-Robotics-and-Artificial-Intelligence-2016-11-22.pdf,,,,EU,,,,included,digital,1,1,,,,,,,,1,,,,2,Simon,,,
Holberton Turing Oath,The Holberton-Turing Oath,https://www.holbertonturingoath.org/,,,,USA,,,,included,,1,,,,,,,,,1,1,,,2,Simon,,,
A Framework for the Ethical use of advanced Data Science Methodes in the Humanitarian Sector,The Humanitarian Data Science and Ethics Group,https://5f2cd2ba-741c-4b29-ae47-00a8291b1d3c.filesusr.com/ugd/d1cf5c_6af8feb771194453817d62c92cee2a21.pdf,,,,,,,,included,digital field-specific,1,,,,,,,,,1,,,,1,Simon,,,
"Unified Ethical Frame for Big Data Analysis. IAF Big Data Ethics Initiative, Part A",The Information Accountability Foundation,https://bigdata.fpf.org/wp-content/uploads/2015/11/IAF-Unified-Ethical-Frame-for-Big-Data-Analysis.pdf,,,,UK,,,,included,digital,1,1,,,,,,,,1,1,,,3,Simon,,,
"The Ethical Framework
 for AI in Education",The Insitute for Ethical AI in Education,https://www.buckingham.ac.uk/wp-content/uploads/2021/03/The-Institute-for-Ethical-AI-in-Education-The-Ethical-Framework-for-AI-in-Education.pdf,,,,UK,,,,included,SPI field-specific,1,,,,,,,,,,1,,,1,Simon,,,
The responsible Machine Learning Principles,The Institute for Ethical AI & Machine Learning,https://ethical.institute/principles.html,"Lina Stankovik, Geeta Chauhan, Jens dittrich, Jack Stilgoe, Oswaldo Baez, Radhaprem Ramaraj, Ari Kamlani, David Fagnan, Kate Carruthers, Ramin Vatanparast, Prasenjeet Bhattacharya, Narayanan Subramaniam, Drake Pruitt, Detlef Nauck, Adrian Gonzalez-Martin, Waheeda Ali, James Gibson, Hirsham Abdulhalim, Promod Radhakrishnan, Angel Castro Martinez, Steven Kuyan, Sarah Rench, Janis Klaise, Alessandra Sala, Maite Trujillo, Stacey King, Magdalena Lis, Dheeraj Awasthy, Fakhreddine Aouadi, Erol Gelenbe, Lisa Harrington, Rodica Costea, Ed Shee, Sam Beni, Daniel Woolf, Tracy Moore, Ling Liu, Gary Marchant, Ghazi Ahamat, Meltem Kilicoglu, Tania Sourdin, CP Duggal, Srikanth Rama, Sarthak Banerjee, Toju Duke, Christin Williams, Diane Reynolds, Pedro Bizarro, Foutse Khomh, Kim Rees, Owen King, Chris Howard, David Rowe-Francis, Clara Crompton, Olfa Nasraoui, Nicole Rigillo, Robina Shaheen, Mark Hines, James Campbell, Josephine Young, Ben Caulfield, Patricia Charlton, Anthony Ng, Richard Tomsett, Arturo Serrano-Santoyo, Ryan Dawson, Arnold Taylor, Rafael Silva, James Kingston, Tom Sorell, Maria Burke, Madeleine Forster, Federica Nocera, Sophie Desroseaux, Photini Vrikki, Amit Malhotra, Marie Sbrocca, Porter Merriman, Melissa McCullough, Annette Markham, Radovan Kavicky, Graham Hunt, Lara Strauss, Steven Chan, John Buyers, Akram Dweikat, Vasileios Karagiannopoulos, Fahim Sachedina, Charles Andrews, Allison Gardner, Tom McGinn, Gavin James, Jerome Solis, Alla Kos, Tom Ewing, Vadim Toader, Dev Amratia, Raphael Scheps, Zoheb Iqbal, Adam Kosiorek, Lisa Gray, Waleed Khoury, Karen Bennet, Vincent Müller, Andrew Burgess, Wayne Mcquoid, Nigel Winship, Brendan Harkin, Anand Rao, Christopher Bull, Mark Round, Chantel Spencer-Bowdage, Maria Axente, Umre Ashish, John Havens, Emilia Tantar, Behzad Samadi, fabio rosa, John Clarke, Joost van der Burgt, Diego Oppenheimer, Beth West, Lucy Yu, Alex Housley, Danial Choudhury, Iarla Kilbane-Dawe, Donald Whyte, Tom McGinn, Ansgar Koene, Benoit Bergeret, Matt Abrams, Alexsis Wintour, Fatos Ismali, Martin de heaver, Megan Elliott, Francesca Gaudino, Hezron Rickets, Noel Tagoe, Hessie Jones, Paul Tidman, Mahdi Shariff, Loretta Cambron, Marco Bertani-Ã˜kland, Eleanor Watson, Chris Donnan, Christine Henry, Mickael Fine, Eric Barbier, John Matthias, Jesus Ramos, Caroline Stockman, Steven Casey, Baptiste Beaume, Shaohua Yang, Saher Esmeir, Baghdad Gherras, Reza Jarral, Sankar Sivarajah, Adnan Masood, Nathalie Birt, Anwesh Roy, Prabhakar Krishnamurthy, Mauricio Marcos Marcos, Wayne Holmes, Zahir Irani, Patrick Uzuwe, Michael Birtwistle, Febria Dwi, Ola Ahmad, Miranda Leung, Jesus Ramos, Shachindra Nath, Alex Blainer Sanchez Sanchez, Michael Natusch, Gabriel Campero Durand, Dutta Debalina, Julia Jenal, Antoine Qian, Ashutosh Modi, Molly Mahar, Alain Lesaffre, Florian Gouin, Sarit Seal",.,civil society,UK,2019,"mixed, academia, stem, social sciences, industry",,included,,1,,,1,,,,,,1,1,,1,4,Mel,,,
AI RFX Procurement Framework,The Institute for Ethical AI & ML,https://ethical.institute/rfx.html,,,,UK,,,,not included,tool,0,,,1,,,,,,,,,,1,Simon,,,
Artificial Intelligence and Machine Learning: Policy Paper,The Internet Society,https://www.internetsociety.org/wp-content/uploads/2017/08/ISOC-AI-Policy-Paper_2017-04-27_0.pdf,,,,international,,,,included,SPI,1,1,,,,,1,,,1,1,,,4,Mel,,,
Regulation of Artificial Intelligence in Selected Jurisdictions,The Law Library of the Congress,https://www.loc.gov/law/help/artificial-intelligence/regulation-artificial-intelligence.pdf,,,,USA,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Simon,,,
Civil Rights Principles for the Era of Big Data,The Leadership Conference on Civil and Human Rights,https://civilrights.org/2014/02/27/civil-rights-principles-era-big-data/,,,,USA,,,,included,digital issue-specific,1,,,,,,,,,1,,,,1,Simon,,,
Manifesto for Data Practices,The Linux Foundation,https://datapractices.org/manifesto/,,,,USA,,,,included,,1,,,,,,,,,,1,,,1,Simon,,,
AI in Egypt,The National Council for Artificial Intelligence (Egypt),https://aicm.ai.gov.eg//en/Resources/EgyptianCharterForResponsibleAIEnglish-v1.0.pdf,,,,Egypt,,,,included,SPI,1,,,,,,,,,,1,,,1,Simon,,,
"Big Data and Security Policies: Serving Security, Protecting Freedom",The Netherlands Scientific Council for Government Policy,https://english.wrr.nl/binaries/wrr-eng/documenten/policy-briefs/2017/01/31/big-data-and-security-policies-serving-security-protecting-freedom/WRR_PB6_BigDataAndSecurityPolicies.pdf,,,,Netherlands,,,,included,SPI digital issue-specific,1,,,,,,,,,,1,,,1,Simon,,,
Seeking Ground Rules for AI,The New York Times,https://www.nytimes.com/2019/03/01/business/ethical-ai-recommendations.html,,,,USA,,,,Included,press,1,,1,,,,1,1,,1,1,,,5,Maria,Fjeld only include the recommendations / paywall?,,
Artificial intelligence and privacy,The Norwegian Data Protection Authority,https://www.datatilsynet.no/globalassets/global/english/ai-and-privacy.pdf,,,,Norway,,,,included,SPI issue-specific,1,1,,,,,,,,1,1,,,3,Simon,,,
Data Ethics Canvas,The Open Data Institute,https://theodi.org/wp-content/uploads/2019/07/ODI-Data-Ethics-Canvas-2019-05.pdf,,,,,,,,not included,not accessible,0,,,,,,,,,1,,,,1,Simon,,,
AI road map to improve PH productivity,The Philippine government,https://www.pna.gov.ph/articles/1075265.,,,,Philippines,,,,included,press,1,,,,,,,,,,1,,,1,Simon,,,
Universal Guidelines for Artificial Intelligence,The Public Voice,https://archive.epic.org/international/AIGuidleinesDRAFT20180910.pdf,.,.,civil society,international,2018-10-23,,,included,,1,1,1,,,,1,1,,1,1,,,6,Mel,,,
Human Rights in the Robot Age Report,The Rathenau Institute,https://www.rathenau.nl/sites/default/files/2018-02/Human%20Rights%20in%20the%20Robot%20Age-Rathenau%20Instituut-2017.pdf,,,,Netherlands,,,,not included,same as below,0,1,,,,,,,,,1,,,2,Simon,,,
"Human rights in the robot age Challenges arising from the use of robotics, artificial intelligence, and virtual and augmented reality",The Rathenau Instituut,https://www.rathenau.nl/sites/default/files/2018-02/Human%20Rights%20in%20the%20Robot%20Age-Rathenau%20Instituut-2017.pdf,,,,Netherlands,,,,included,digital techno-specific,1,,,,,,,,,1,,,,1,Simon,,,
Machine learning: the power and promise of computers that learn by example,The Royal Society,https://royalsociety.org/~/media/policy/projects/machine-learning/publications/machine-learning-report.pdf,,,,UK,,,,included,SPI techno-specific,1,1,,,,,,,,1,1,,,3,Simon,,,
Saudi Arabia National AI Strategy,The Saudi Data and Artificial Intelligence Authority,https://kawa-news.com/en/saudi-arabia-unveils-national-ai-strategy/.,,,,Saudi Arabia,,,,included,press,1,,,,,,,,,,1,,,1,Simon,,,
Bridges to the future of education: Policy recommendations for the digital age,Think 20 (T20),https://t20argentina.org/wp-content/uploads/2018/09/Bridges-to-the-Future-of-Education-Policy-Recommendations-for-the-Digital-Age.pdf,,,,international,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Simon,,,
The 3rd Insdustrial Revolution Strategy Study,Third Industrial Revolution Consulting Group (Luxembourg),http://www.troisiemerevolutionindustrielle.lu/wp-content/uploads/2016/11/TIR-CG_Luxembourg-Final-Report_Long-Version.pdf,,,,Luxembourg,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Simon,,,
Ethical by Design: Ethics Best Practices for Natural Language Processing,Thomson Reuters,https://aclanthology.org/W17-1604.pdf,,,,UK,,,,included,SPI techno-specific,1,,,1,,,,,,,,,,1,Simon,,,
Tieto’s AI ethics guidelines,Tieto,https://www.tietoevry.com/contentassets/b097de43d84d4c84832f1fff2cb6a30d/tieto-s-ai-ethics-guidelines.pdf,,,industry,Finland,2018,,,included,,1,1,,,,,1,,,1,1,,,4,Mel,,,
Policy brief on Discrimination at Recruitment and Selection,TNO (Netherlands),http://publications.tno.nl/publication/34627249/puJbur/TNO-2018-R11086.pdf,,,,Netherlands,,,,not included,not in english,0,,,,,,,,,,1,,,1,Simon,,,
Algorithmic Impact Assessment (AIA),Treasury Board (Canada),https://www.canada.ca/en/government/system/digital-government/digital-government-innovations/responsible-use-ai/algorithmic-impact-assessment.html,,,,Canada,,,,not included,tool,0,,,,,,,,,,1,,,1,Simon,,,
Directive on Automated Decision-Making,Treasury Board (Canada),https://www.tbs-sct.gc.ca/pol/doc-eng.aspx?id=32592,,,,Canada,,,,not included,binding,0,,,,,,,,,,1,,,1,Simon,,,
Government of Canada Strategic Plan for Information Management and Information Technology 2017-2021,Treasury Board (Canada),https://www.canada.ca/en/treasury-board-secretariat/services/information-technology/strategic-plan-2017-2021.html,,,,Canada,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Simon,,,
Responsible use of Artificial Intelligence (AI) - Guiding Principles,Treasury Board (Canada),https://www.canada.ca/en/government/system/digital-government/modern-emerging-technologies/responsible-use-ai.html#toc1,,,,Canada,,,,included,,1,,,,,,1,,,1,1,,,3,Simon,,,
Vienna Manifesto on Digital Humanism,TU Wien,https://dighum.ec.tuwien.ac.at/dighum-manifesto/,,,,Austria,,,,included,digital,1,,,,,,,,,1,1,,,2,Simon,,,
National AI Strategy: Unlocking Tunisia’s capabilities potential.,Tunisia’s Secretary of State for Research,http://www.anpr.tn/national-ai-strategy-unlocking-tunisias-capabilities-potential/.,,,,Tunisia,,,,not included,not final,0,,,,,,,,,,1,,,1,Simon,,,
